FH,FR,MH,MR,CG,NU,FH_x_Squared,FR_x_Squared,MH_x_Squared,MR_x_Squared,CG_x_Squared,NU_x_Squared,Distance,TallerParent,Distance_Squared,TallerParent_Squared,CH
180.3,0.0,165.1,0.0,1.0,0,32508.090000000004,0.0,27258.01,0.0,1.0,0,15.200000000000017,-1.0,231.04000000000053,1.0,167.6
180.3,0.0,167.6,0.0,0.0,0,32508.090000000004,0.0,28089.76,0.0,0.0,0,12.700000000000017,-1.0,161.29000000000045,1.0,190.5
177.8,1.0,165.1,1.0,0.0,0,31612.840000000004,1.0,27258.01,1.0,0.0,0,12.700000000000017,-1.0,161.29000000000045,1.0,170.2
177.8,0.0,170.2,0.0,0.0,0,31612.840000000004,0.0,28968.039999999997,0.0,0.0,0,7.600000000000023,-1.0,57.760000000000346,1.0,177.8
160.0,2.0,154.4,2.0,0.0,0,25600.0,4.0,23839.36,4.0,0.0,0,5.599999999999994,-1.0,31.359999999999935,1.0,167.6
182.9,0.0,172.7,0.0,1.0,0,33452.41,0.0,29825.289999999997,0.0,1.0,0,10.200000000000017,-1.0,104.04000000000035,1.0,152.4
182.9,0.0,170.2,0.0,0.0,0,33452.41,0.0,28968.039999999997,0.0,0.0,0,12.700000000000017,-1.0,161.29000000000045,1.0,193.0
180.3,0.0,170.2,0.0,1.0,0,32508.090000000004,0.0,28968.039999999997,0.0,1.0,0,10.100000000000023,-1.0,102.01000000000046,1.0,167.6
175.3,2.0,167.6,2.0,1.0,0,30730.090000000004,4.0,28089.76,4.0,1.0,0,7.700000000000017,-1.0,59.29000000000026,1.0,160.0
175.3,2.0,167.6,2.0,0.0,0,30730.090000000004,4.0,28089.76,4.0,0.0,0,7.700000000000017,-1.0,59.29000000000026,1.0,172.7
175.3,2.0,167.6,2.0,0.0,0,30730.090000000004,4.0,28089.76,4.0,0.0,0,7.700000000000017,-1.0,59.29000000000026,1.0,182.9
180.3,0.0,165.1,0.0,0.0,0,32508.090000000004,0.0,27258.01,0.0,0.0,0,15.200000000000017,-1.0,231.04000000000053,1.0,185.4
180.3,0.0,165.1,0.0,0.0,0,32508.090000000004,0.0,27258.01,0.0,0.0,0,15.200000000000017,-1.0,231.04000000000053,1.0,182.9
177.8,1.0,157.5,1.0,1.0,0,31612.840000000004,1.0,24806.25,1.0,1.0,0,20.30000000000001,-1.0,412.0900000000005,1.0,157.5
175.3,0.0,165.1,0.0,1.0,0,30730.090000000004,0.0,27258.01,0.0,1.0,0,10.200000000000017,-1.0,104.04000000000035,1.0,157.5
175.3,0.0,165.1,0.0,1.0,0,30730.090000000004,0.0,27258.01,0.0,1.0,0,10.200000000000017,-1.0,104.04000000000035,1.0,154.9
175.3,0.0,165.1,0.0,1.0,0,30730.090000000004,0.0,27258.01,0.0,1.0,0,10.200000000000017,-1.0,104.04000000000035,1.0,162.6
180.3,0.0,154.9,0.0,1.0,0,32508.090000000004,0.0,23994.010000000002,0.0,1.0,0,25.400000000000006,-1.0,645.1600000000003,1.0,157.5
177.8,0.0,154.9,0.0,0.0,0,31612.840000000004,0.0,23994.010000000002,0.0,0.0,0,22.900000000000006,-1.0,524.4100000000003,1.0,177.8
177.8,0.0,154.9,0.0,0.0,0,31612.840000000004,0.0,23994.010000000002,0.0,0.0,0,22.900000000000006,-1.0,524.4100000000003,1.0,182.9
177.8,0.0,175.3,0.0,1.0,0,31612.840000000004,0.0,30730.090000000004,0.0,1.0,0,2.5,-1.0,6.25,1.0,172.7
182.9,0.0,172.7,0.0,0.0,0,33452.41,0.0,29825.289999999997,0.0,0.0,0,10.200000000000017,-1.0,104.04000000000035,1.0,185.4
190.5,0.0,162.6,0.0,1.0,0,36290.25,0.0,26438.76,0.0,1.0,0,27.900000000000006,-1.0,778.4100000000003,1.0,180.3
180.3,0.0,157.5,0.0,1.0,0,32508.090000000004,0.0,24806.25,0.0,1.0,0,22.80000000000001,-1.0,519.8400000000005,1.0,165.1
182.9,0.0,180.3,0.0,1.0,0,33452.41,0.0,32508.090000000004,0.0,1.0,0,2.5999999999999943,-1.0,6.7599999999999705,1.0,170.2
177.8,0.0,154.9,0.0,1.0,0,31612.840000000004,0.0,23994.010000000002,0.0,1.0,0,22.900000000000006,-1.0,524.4100000000003,1.0,165.1
175.3,3.0,175.3,3.0,0.0,0,30730.090000000004,9.0,30730.090000000004,9.0,0.0,0,0.0,,0.0,,200.7
182.9,1.0,162.6,1.0,1.0,0,33452.41,1.0,26438.76,1.0,1.0,0,20.30000000000001,-1.0,412.0900000000005,1.0,160.0
188.0,0.0,172.7,0.0,1.0,0,35344.0,0.0,29825.289999999997,0.0,1.0,0,15.300000000000011,-1.0,234.09000000000034,1.0,170.2
185.4,0.0,165.1,0.0,1.0,0,34373.16,0.0,27258.01,0.0,1.0,0,20.30000000000001,-1.0,412.0900000000005,1.0,160.0
177.8,0.0,152.4,0.0,1.0,0,31612.840000000004,0.0,23225.760000000002,0.0,1.0,0,25.400000000000006,-1.0,645.1600000000003,1.0,160.0
190.5,0.0,170.2,0.0,1.0,0,36290.25,0.0,28968.039999999997,0.0,1.0,0,20.30000000000001,-1.0,412.0900000000005,1.0,175.3
170.2,0.0,182.9,0.0,0.0,0,28968.039999999997,0.0,33452.41,0.0,0.0,0,12.700000000000017,1.0,161.29000000000045,1.0,188.0
170.2,0.0,165.1,0.0,0.0,0,28968.039999999997,0.0,27258.01,0.0,0.0,0,5.099999999999994,-1.0,26.00999999999994,1.0,180.3
193.0,0.0,162.6,0.0,1.0,0,37249.0,0.0,26438.76,0.0,1.0,0,30.400000000000006,-1.0,924.1600000000003,1.0,162.6
177.8,0.0,165.1,0.0,1.0,0,31612.840000000004,0.0,27258.01,0.0,1.0,0,12.700000000000017,-1.0,161.29000000000045,1.0,167.6
182.9,0.0,162.6,0.0,1.0,0,33452.41,0.0,26438.76,0.0,1.0,0,20.30000000000001,-1.0,412.0900000000005,1.0,162.6
180.3,0.0,162.6,0.0,0.0,0,32508.090000000004,0.0,26438.76,0.0,0.0,0,17.700000000000017,-1.0,313.2900000000006,1.0,170.2
188.0,0.0,165.1,0.0,1.0,0,35344.0,0.0,27258.01,0.0,1.0,0,22.900000000000006,-1.0,524.4100000000003,1.0,165.1
182.9,0.0,170.2,0.0,1.0,0,33452.41,0.0,28968.039999999997,0.0,1.0,0,12.700000000000017,-1.0,161.29000000000045,1.0,165.1
185.4,1.0,160.0,0.0,0.0,0,34373.16,1.0,25600.0,0.0,0.0,0,25.400000000000006,-1.0,645.1600000000003,1.0,179.0
177.8,0.0,168.9,0.0,1.0,0,31612.840000000004,0.0,28527.210000000003,0.0,1.0,0,8.900000000000006,-1.0,79.21000000000011,1.0,168.9
182.9,0.0,175.3,0.0,0.0,0,33452.41,0.0,30730.090000000004,0.0,0.0,0,7.599999999999994,-1.0,57.75999999999991,1.0,177.8
165.0,3.0,156.0,3.0,0.0,0,27225.0,9.0,24336.0,9.0,0.0,0,9.0,-1.0,81.0,1.0,171.0
188.0,0.0,160.0,0.0,0.0,0,35344.0,0.0,25600.0,0.0,0.0,0,28.0,-1.0,784.0,1.0,188.0
170.2,0.0,177.8,0.0,1.0,0,28968.039999999997,0.0,31612.840000000004,0.0,1.0,0,7.600000000000023,1.0,57.760000000000346,1.0,177.8
188.0,0.0,154.9,0.0,1.0,0,35344.0,0.0,23994.010000000002,0.0,1.0,0,33.099999999999994,-1.0,1095.6099999999997,1.0,160.0
188.0,0.0,180.3,0.0,1.0,0,35344.0,0.0,32508.090000000004,0.0,1.0,0,7.699999999999989,-1.0,59.28999999999982,1.0,172.7
185.4,0.0,149.9,0.0,1.0,0,34373.16,0.0,22470.010000000002,0.0,1.0,0,35.5,-1.0,1260.25,1.0,165.1
170.0,0.0,170.0,0.0,0.0,0,28900.0,0.0,28900.0,0.0,0.0,0,0.0,,0.0,,178.0
182.88,0.0,157.48,0.0,0.0,0,33445.0944,0.0,24799.950399999998,0.0,0.0,0,25.400000000000006,-1.0,645.1600000000003,1.0,177.8
154.94,0.0,172.72,0.0,0.0,0,24006.403599999998,0.0,29832.1984,0.0,0.0,0,17.78,1.0,316.12840000000006,1.0,180.34
177.0,3.0,175.0,0.0,0.0,0,31329.0,9.0,30625.0,0.0,0.0,0,2.0,-1.0,4.0,1.0,175.0
162.56,0.0,152.4,0.0,1.0,0,26425.7536,0.0,23225.760000000002,0.0,1.0,0,10.159999999999997,-1.0,103.22559999999993,1.0,152.4
180.34,0.0,172.72,0.0,0.0,0,32522.515600000002,0.0,29832.1984,0.0,0.0,0,7.6200000000000045,-1.0,58.06440000000007,1.0,175.26
185.42,0.0,154.94,0.0,1.0,0,34380.5764,0.0,24006.403599999998,0.0,1.0,0,30.47999999999999,-1.0,929.0303999999994,1.0,170.18
177.8,0.0,157.0,0.0,1.0,0,31612.840000000004,0.0,24649.0,0.0,1.0,0,20.80000000000001,-1.0,432.6400000000005,1.0,165.0
182.8,0.0,162.5,0.0,0.0,0,33415.840000000004,0.0,26406.25,0.0,0.0,0,20.30000000000001,-1.0,412.0900000000005,1.0,185.4
165.1,0.0,162.56,0.0,0.0,0,27258.01,0.0,26425.7536,0.0,0.0,0,2.539999999999992,-1.0,6.451599999999959,1.0,172.72
172.72,0.0,165.1,0.0,0.0,0,29832.1984,0.0,27258.01,0.0,0.0,0,7.6200000000000045,-1.0,58.06440000000007,1.0,175.26
170.18,2.0,170.18,2.0,0.0,0,28961.2324,4.0,28961.2324,4.0,0.0,0,0.0,,0.0,,175.26
172.72,0.0,165.1,0.0,0.0,0,29832.1984,0.0,27258.01,0.0,0.0,0,7.6200000000000045,-1.0,58.06440000000007,1.0,180.34
172.72,0.0,165.1,0.0,0.0,0,29832.1984,0.0,27258.01,0.0,0.0,0,7.6200000000000045,-1.0,58.06440000000007,1.0,172.72
187.96,0.0,172.72,0.0,0.0,0,35328.9616,0.0,29832.1984,0.0,0.0,0,15.240000000000009,-1.0,232.25760000000028,1.0,177.8
177.8,0.0,165.1,0.0,0.0,0,31612.840000000004,0.0,27258.01,0.0,0.0,0,12.700000000000017,-1.0,161.29000000000045,1.0,177.8
175.26,0.0,178.0,0.0,0.0,0,30716.0676,0.0,31684.0,0.0,0.0,0,2.740000000000009,1.0,7.50760000000005,1.0,180.34
167.64,0.0,158.2,0.0,0.0,0,28103.169599999994,0.0,25027.239999999998,0.0,0.0,0,9.439999999999998,-1.0,89.11359999999996,1.0,182.88
175.0,0.0,162.56,0.0,0.0,0,30625.0,0.0,26425.7536,0.0,0.0,0,12.439999999999998,-1.0,154.75359999999995,1.0,172.72
154.94,0.0,157.48,0.0,0.0,0,24006.403599999998,0.0,24799.950399999998,0.0,0.0,0,2.539999999999992,1.0,6.451599999999959,1.0,182.88
172.72,0.0,167.64,0.0,0.0,0,29832.1984,0.0,28103.169599999994,0.0,0.0,0,5.0800000000000125,-1.0,25.806400000000128,1.0,154.94
162.56,3.0,152.4,3.0,0.0,0,26425.7536,9.0,23225.760000000002,9.0,0.0,0,10.159999999999997,-1.0,103.22559999999993,1.0,165.1
182.88,1.0,165.1,0.0,0.0,0,33445.0944,1.0,27258.01,0.0,0.0,0,17.78,-1.0,316.12840000000006,1.0,193.04
182.88,0.0,154.94,0.0,1.0,0,33445.0944,0.0,24006.403599999998,0.0,1.0,0,27.939999999999998,-1.0,780.6435999999999,1.0,152.4
182.88,1.0,172.72,1.0,0.0,0,33445.0944,1.0,29832.1984,1.0,0.0,0,10.159999999999997,-1.0,103.22559999999993,1.0,175.26
185.42,0.0,162.56,0.0,1.0,0,34380.5764,0.0,26425.7536,0.0,1.0,0,22.859999999999985,-1.0,522.5795999999993,1.0,157.48
167.64,1.0,172.72,0.0,1.0,1,28103.169599999994,1.0,29832.1984,0.0,1.0,1,5.0800000000000125,1.0,25.806400000000128,1.0,170.18
182.88,1.0,162.56,0.0,1.0,0,33445.0944,1.0,26425.7536,0.0,1.0,0,20.319999999999993,-1.0,412.9023999999997,1.0,165.1
154.94,4.0,165.1,4.0,1.0,0,24006.403599999998,16.0,27258.01,16.0,1.0,0,10.159999999999997,1.0,103.22559999999993,1.0,170.18
170.18,0.0,172.72,0.0,0.0,0,28961.2324,0.0,29832.1984,0.0,0.0,0,2.539999999999992,1.0,6.451599999999959,1.0,170.18
193.04,0.0,165.1,0.0,1.0,0,37264.4416,0.0,27258.01,0.0,1.0,0,27.939999999999998,-1.0,780.6435999999999,1.0,172.72
175.26,0.0,165.1,0.0,0.0,0,30716.0676,0.0,27258.01,0.0,0.0,0,10.159999999999997,-1.0,103.22559999999993,1.0,185.42
180.34,2.0,157.48,3.0,0.0,1,32522.515600000002,4.0,24799.950399999998,9.0,0.0,1,22.860000000000014,-1.0,522.5796000000006,1.0,186.0
193.04,1.0,165.1,1.0,0.0,0,37264.4416,1.0,27258.01,1.0,0.0,0,27.939999999999998,-1.0,780.6435999999999,1.0,190.5
193.04,1.0,165.1,1.0,0.0,0,37264.4416,1.0,27258.01,1.0,0.0,0,27.939999999999998,-1.0,780.6435999999999,1.0,187.96
208.28,1.0,172.72,1.0,0.0,0,43380.5584,1.0,29832.1984,1.0,0.0,0,35.56,-1.0,1264.5136000000002,1.0,198.12
193.04,1.0,182.88,1.0,0.0,0,37264.4416,1.0,33445.0944,1.0,0.0,0,10.159999999999997,-1.0,103.22559999999993,1.0,190.5
193.04,1.0,182.88,1.0,0.0,0,37264.4416,1.0,33445.0944,1.0,0.0,0,10.159999999999997,-1.0,103.22559999999993,1.0,198.12
193.04,1.0,182.88,1.0,0.0,0,37264.4416,1.0,33445.0944,1.0,0.0,0,10.159999999999997,-1.0,103.22559999999993,1.0,182.88
205.74,1.0,167.64,1.0,0.0,0,42328.94760000001,1.0,28103.169599999994,1.0,0.0,0,38.10000000000002,-1.0,1451.6100000000017,1.0,190.5
215.9,1.0,170.18,1.0,0.0,0,46612.810000000005,1.0,28961.2324,1.0,0.0,0,45.72,-1.0,2090.3184,1.0,205.74
167.64,1.0,170.18,1.0,0.0,0,28103.169599999994,1.0,28961.2324,1.0,0.0,0,2.5400000000000205,1.0,6.451600000000104,1.0,175.26
213.36,1.0,167.64,1.0,0.0,0,45522.48960000001,1.0,28103.169599999994,1.0,0.0,0,45.72000000000003,-1.0,2090.3184000000024,1.0,203.2
198.12,1.0,185.42,0.0,0.0,0,39251.534400000004,1.0,34380.5764,0.0,0.0,0,12.700000000000017,-1.0,161.29000000000045,1.0,198.12
198.12,1.0,185.42,0.0,0.0,0,39251.534400000004,1.0,34380.5764,0.0,0.0,0,12.700000000000017,-1.0,161.29000000000045,1.0,203.2
198.12,1.0,185.42,0.0,0.0,0,39251.534400000004,1.0,34380.5764,0.0,0.0,0,12.700000000000017,-1.0,161.29000000000045,1.0,195.579
175.26,1.0,165.1,1.0,0.0,0,30716.0676,1.0,27258.01,1.0,0.0,0,10.159999999999997,-1.0,103.22559999999993,1.0,198.12
172.72,1.0,170.18,1.0,0.0,0,29832.1984,1.0,28961.2324,1.0,0.0,0,2.539999999999992,-1.0,6.451599999999959,1.0,190.5
167.64,3.0,167.64,3.0,0.0,0,28103.169599999994,9.0,28103.169599999994,9.0,0.0,0,0.0,,0.0,,190.5
177.8,0.0,177.8,0.0,0.0,0,31612.840000000004,0.0,31612.840000000004,0.0,0.0,0,0.0,,0.0,,203.2
172.72,1.0,175.26,1.0,0.0,0,29832.1984,1.0,30716.0676,1.0,0.0,0,2.539999999999992,1.0,6.451599999999959,1.0,215.9
167.64,1.0,157.48,1.0,0.0,0,28103.169599999994,1.0,24799.950399999998,1.0,0.0,0,10.159999999999997,-1.0,103.22559999999993,1.0,208.28
193.04,0.0,177.8,0.0,0.0,0,37264.4416,0.0,31612.840000000004,0.0,0.0,0,15.23999999999998,-1.0,232.2575999999994,1.0,200.66
177.8,0.0,154.94,0.0,0.0,0,31612.840000000004,0.0,24006.403599999998,0.0,0.0,0,22.860000000000014,-1.0,522.5796000000006,1.0,185.42
162.56,0.0,168.91,0.0,0.0,0,26425.7536,0.0,28530.588099999997,0.0,0.0,0,6.349999999999994,1.0,40.32249999999993,1.0,177.8
166.37,1.0,157.48,1.0,0.0,0,27678.9769,1.0,24799.950399999998,1.0,0.0,0,8.890000000000015,-1.0,79.03210000000027,1.0,177.8
185.42,0.0,152.4,0.0,0.0,0,34380.5764,0.0,23225.760000000002,0.0,0.0,0,33.01999999999998,-1.0,1090.3203999999987,1.0,167.64
185.42,0.0,162.56,0.0,0.0,0,34380.5764,0.0,26425.7536,0.0,0.0,0,22.859999999999985,-1.0,522.5795999999993,1.0,177.8
172.72,0.0,162.56,0.0,0.0,0,29832.1984,0.0,26425.7536,0.0,0.0,0,10.159999999999997,-1.0,103.22559999999993,1.0,185.42
180.34,0.0,167.64,0.0,0.0,0,32522.515600000002,0.0,28103.169599999994,0.0,0.0,0,12.700000000000017,-1.0,161.29000000000045,1.0,175.26
182.88,0.0,173.99,0.0,1.0,0,33445.0944,0.0,30272.5201,0.0,1.0,0,8.889999999999986,-1.0,79.03209999999976,1.0,162.56
172.72,0.0,157.48,2.0,1.0,0,29832.1984,0.0,24799.950399999998,4.0,1.0,0,15.240000000000009,-1.0,232.25760000000028,1.0,154.94
175.26,3.0,160.02,0.0,1.0,0,30716.0676,9.0,25606.400400000002,0.0,1.0,0,15.23999999999998,-1.0,232.2575999999994,1.0,157.48
187.96,0.0,172.72,0.0,1.0,0,35328.9616,0.0,29832.1984,0.0,1.0,0,15.240000000000009,-1.0,232.25760000000028,1.0,177.8
185.42,0.0,157.48,0.0,1.0,0,34380.5764,0.0,24799.950399999998,0.0,1.0,0,27.939999999999998,-1.0,780.6435999999999,1.0,175.26
190.5,2.0,162.56,2.0,0.0,0,36290.25,4.0,26425.7536,4.0,0.0,0,27.939999999999998,-1.0,780.6435999999999,1.0,187.96
180.34,0.0,170.18,0.0,0.0,0,32522.515600000002,0.0,28961.2324,0.0,0.0,0,10.159999999999997,-1.0,103.22559999999993,1.0,182.88
175.26,1.0,170.18,1.0,0.0,0,30716.0676,1.0,28961.2324,1.0,0.0,0,5.079999999999984,-1.0,25.806399999999837,1.0,180.34
167.64,2.0,165.1,2.0,0.0,0,28103.169599999994,4.0,27258.01,4.0,0.0,0,2.539999999999992,-1.0,6.451599999999959,1.0,172.72
173.99,0.0,167.64,0.0,0.0,0,30272.5201,0.0,28103.169599999994,0.0,0.0,0,6.350000000000023,-1.0,40.32250000000029,1.0,185.42
182.88,0.0,165.1,0.0,0.0,0,33445.0944,0.0,27258.01,0.0,0.0,0,17.78,-1.0,316.12840000000006,1.0,182.88
177.8,0.0,167.64,0.0,0.0,0,31612.840000000004,0.0,28103.169599999994,0.0,0.0,0,10.160000000000025,-1.0,103.22560000000051,1.0,177.8
183.0,3.0,163.0,3.0,0.0,0,33489.0,9.0,26569.0,9.0,0.0,0,20.0,-1.0,400.0,1.0,168.0
183.0,3.0,163.0,3.0,0.0,0,33489.0,9.0,26569.0,9.0,0.0,0,20.0,-1.0,400.0,1.0,170.0
170.0,0.0,163.0,0.0,1.0,0,28900.0,0.0,26569.0,0.0,1.0,0,7.0,-1.0,49.0,1.0,153.0
172.0,0.0,172.0,0.0,0.0,0,29584.0,0.0,29584.0,0.0,0.0,0,0.0,,0.0,,172.0
168.0,3.0,165.0,3.0,1.0,0,28224.0,9.0,27225.0,9.0,1.0,0,3.0,-1.0,9.0,1.0,150.0
168.0,3.0,165.0,3.0,1.0,0,28224.0,9.0,27225.0,9.0,1.0,0,3.0,-1.0,9.0,1.0,156.0
180.0,1.0,160.0,1.0,1.0,0,32400.0,1.0,25600.0,1.0,1.0,0,20.0,-1.0,400.0,1.0,165.0
180.0,1.0,160.0,1.0,1.0,0,32400.0,1.0,25600.0,1.0,1.0,0,20.0,-1.0,400.0,1.0,142.0
180.0,1.0,160.0,1.0,0.0,0,32400.0,1.0,25600.0,1.0,0.0,0,20.0,-1.0,400.0,1.0,170.0
168.0,3.0,173.0,3.0,0.0,0,28224.0,9.0,29929.0,9.0,0.0,0,5.0,1.0,25.0,1.0,183.0
168.0,3.0,173.0,3.0,1.0,0,28224.0,9.0,29929.0,9.0,1.0,0,5.0,1.0,25.0,1.0,165.0
168.0,3.0,173.0,3.0,1.0,0,28224.0,9.0,29929.0,9.0,1.0,0,5.0,1.0,25.0,1.0,163.0
168.0,3.0,173.0,3.0,1.0,0,28224.0,9.0,29929.0,9.0,1.0,0,5.0,1.0,25.0,1.0,167.0
168.0,3.0,173.0,3.0,1.0,0,28224.0,9.0,29929.0,9.0,1.0,0,5.0,1.0,25.0,1.0,165.0
183.0,1.0,178.0,1.0,0.0,0,33489.0,1.0,31684.0,1.0,0.0,0,5.0,-1.0,25.0,1.0,180.0
183.0,1.0,178.0,1.0,0.0,0,33489.0,1.0,31684.0,1.0,0.0,0,5.0,-1.0,25.0,1.0,187.0
183.0,1.0,178.0,1.0,0.0,0,33489.0,1.0,31684.0,1.0,0.0,0,5.0,-1.0,25.0,1.0,190.0
170.0,3.0,155.0,3.0,0.0,0,28900.0,9.0,24025.0,9.0,0.0,0,15.0,-1.0,225.0,1.0,170.0
170.0,3.0,155.0,3.0,0.0,0,28900.0,9.0,24025.0,9.0,0.0,0,15.0,-1.0,225.0,1.0,168.0
170.0,3.0,155.0,3.0,1.0,0,28900.0,9.0,24025.0,9.0,1.0,0,15.0,-1.0,225.0,1.0,157.0
170.0,3.0,155.0,3.0,1.0,0,28900.0,9.0,24025.0,9.0,1.0,0,15.0,-1.0,225.0,1.0,160.0
170.0,3.0,155.0,3.0,1.0,0,28900.0,9.0,24025.0,9.0,1.0,0,15.0,-1.0,225.0,1.0,160.0
